quote,author
"Winter is coming.", Ned Stark
"Why so serious.!", Joker
"The night is dark and full of terrors", Melisandre
"Valar Morghulis.", Jaquen Hghar
"Fear cuts deeper than swords.", Arya Stark
"There is only god and his name is death", Syrio Forel
"I demand trial by combat.", Tyrion
"You know nothing.", Ygritte
"Valar Dohearis.", Jaquen Hghar
"A lion doesn’t concern himself with the opinions of a sheep.", Tywin Lannister
"Power resides where men believe it resides. It’s a trick, a shadow on the wall. And a very small man can cast a very large shadow.", Lord Varys
"When you play the game of thrones, you win or you die", Cersei Lannister
"Chaos isn’t a pit. Chaos is a ladder.", Lord Baelish
"Nothing f***s you harder than time.", Ser Davos
"All men must die, but we are not men.", Dany
"It doesn’t matter what we want. Once we get it, then we want something else", Lord Baelish
"Never forget what you are. The rest of the world will not. Wear it like armour, and it can never be used to hurt you.", Tyrion
